Epoch,Train_OA,Train_mIoU,Train_Loss,Valid_OA,Valid_mIoU,Valid_Loss,Test_OA,Test_mIoU,Test_Loss
0,78.70016659007354,64.83150937389594,1.955226679642995,60.015869140625,30.014345534625704,7.029932737350464,60.009765625,30.0048828125,7.006101727485657
1,84.03463924632354,72.39762969028476,1.2611731953091092,60.009765625,30.0048828125,33.51524543762207,0,0,0
2,87.30181525735294,77.32860728151277,1.0405700272983975,89.3402099609375,79.52755470883169,3.7789762020111084,89.09040178571429,80.09478850810345,1.4465033262968063
3,89.30305032169117,80.50077917548938,0.873251736164093,87.823486328125,76.70623748835791,4.792978286743164,0,0,0
4,88.04716222426471,78.48722034595164,0.9823311765988668,84.3841552734375,71.8906054174429,3.521468997001648,88.04408482142857,78.387883486077,1.4142520129680634
